"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize"
"saipan","LADT","G'P","G","P","yes","no","23-Jul-2013","1-Aug-2013","yes","no",71
"saipan","MTR","G'Q","G","Q","yes","no","26-Jul-2013","29-Jul-2013","no","yes",34
"saipan","MTR","G'R","G","R","yes","no","26-Jul-2013","27-Jul-2013","no","yes",41
"saipan","Forbi","G'S","G","S","yes","no","27-Jul-2013","29-Jul-2013","no","yes",37
"saipan","Forbi","G'T","G","T","yes","no","27-Jul-2013","31-Jul-2013","no","no",51
"saipan","Forbi","G'U","G","U","yes","no","27-Jul-2013","29-Jul-2013","no","yes",55
"saipan","LADT","G'V","G","V","yes","no","23-Jul-2013","24-Jul-2013","no","yes",50
"saipan","LADT","G'W","G","W","no","no","30-Jul-2013","31-Jul-2013","no","yes",43
"saipan","LADT","G'X","G","X","no","no","30-Jul-2013","31-Jul-2013","no","yes",59
"saipan","LADT","G'Y","G","Y","no","no","30-Jul-2013","31-Jul-2013","no","yes",44
"saipan","LADT","G'Z","G","Z","no","no","30-Jul-2013","31-Jul-2013","no","yes",61
"saipan","LADT","H'A","H","A","no","no","30-Jul-2013","31-Jul-2013","no","yes",55
"saipan","LADT","H'B","H","B","no","no","30-Jul-2013","31-Jul-2013","no","yes",33
"saipan","LADT","H'C","H","C","no","no","30-Jul-2013","31-Jul-2013","no","yes",53
"siapan","LADT","H'D","H","D","no","no","30-Jul-2013","2-Aug-2013","no","yes",46
"saipan","LADT","H'E","H","E","no","no","1-Aug-2013","2-Aug-2013","no","yes",55
"saipan","LADT","H'F","H","F","no","no","1-Aug-2013","2-Aug-2013","no","yes",48
"saipan","LADT","H'G","H","G","no","no","1-Aug-2013","2-Aug-2013","no","yes",51
"saipan","LADT","H'H","H","H","no","no","1-Aug-2013","2-Aug-2013","no","yes",59
"saipan","LADT","H'I","H","I","no","no","1-Aug-2013","3-Aug-2013","no","yes",57
"saipan","LADT","H'J","H","J","no","no","1-Aug-2013","4-Aug-2013","no","yes",49
"saipan","Forbi","H'K","H","K","no","no","1-Aug-2013","2-Aug-2013","no","yes",52
"saipan","Forbi","H'L","H","L","no","no","1-Aug-2013","2-Aug-2013","no","yes",31
"saipan","Forbi","H'M","H","M","no","no","1-Aug-2013","2-Aug-2013","no","no",27
"saipan","Forbi","H'N","H","N","no","no","1-Aug-2013","3-Aug-2013","no","yes",51
"saipan","Forbi","H'O","H","O","no","no","1-Aug-2013","4-Aug-2013","no","yes",47
"saipan","Forbi","H'P","H","P","no","no","1-Aug-2013","5-Aug-2013","no","yes",62
"saipan","Forbi","H'Q","H","Q","no","yes","1-Aug-2013","2-Aug-2013","no","no",55
"saipan","Forbi","H'R","H","R","no","yes","1-Aug-2013","4-Aug-2013","no","yes",45
"saipan","Forbi","H'S","H","S","no","yes","1-Aug-2013","5-Aug-2013","no","no",49
"saipan","Forbi","H'T","H","T","no","yes","1-Aug-2013","6-Aug-2013","no","no",46
"saipan","Forbi","H'U","H","U","no","yes","1-Aug-2013","7-Aug-2013","yes","no",56
"saipan","LADT","H'V","H","V","no","yes","30-Jul-2013","2-Aug-2013","no","yes",51
"saipan","LADT","H'W","H","W","no","yes","30-Jul-2013","2-Aug-2013","no","no",57
